id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_restoran,satuan,tahun
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,87.0,UNIT,2021
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,16.0,UNIT,2021
194,32,JAWA BARAT,3205,KABUPATEN GARUT,10.0,UNIT,2021
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2.0,UNIT,2021
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.0,UNIT,2021
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.0,UNIT,2021
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,54.0,UNIT,2021
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5.0,UNIT,2021
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2.0,UNIT,2021
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,UNIT,2021
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,25.0,UNIT,2021
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,47.0,UNIT,2021
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,190.0,UNIT,2021
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,981.0,UNIT,2021
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,152.0,UNIT,2021
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,UNIT,2021
208,32,JAWA BARAT,3271,KOTA BOGOR,171.0,UNIT,2021
209,32,JAWA BARAT,3272,KOTA SUKABUMI,108.0,UNIT,2021
210,32,JAWA BARAT,3273,KOTA BANDUNG,370.0,UNIT,2021
211,32,JAWA BARAT,3274,KOTA CIREBON,178.0,UNIT,2021
212,32,JAWA BARAT,3275,KOTA BEKASI,1024.0,UNIT,2021
213,32,JAWA BARAT,3276,KOTA DEPOK,793.0,UNIT,2021
214,32,JAWA BARAT,3277,KOTA CIMAHI,27.0,UNIT,2021
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,74.0,UNIT,2021
216,32,JAWA BARAT,3279,KOTA BANJAR,0.0,UNIT,2021
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,359.0,UNIT,2022
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,37.0,UNIT,2022
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,87.0,UNIT,2022
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,21.0,UNIT,2022
221,32,JAWA BARAT,3205,KABUPATEN GARUT,101.0,UNIT,2022
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2.0,UNIT,2022
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.0,UNIT,2022
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18.0,UNIT,2022
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,54.0,UNIT,2022
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5.0,UNIT,2022
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2.0,UNIT,2022
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1.0,UNIT,2022
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,28.0,UNIT,2022
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,47.0,UNIT,2022
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,190.0,UNIT,2022
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,553.0,UNIT,2022
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,152.0,UNIT,2022
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,UNIT,2022
235,32,JAWA BARAT,3271,KOTA BOGOR,172.0,UNIT,2022
236,32,JAWA BARAT,3272,KOTA SUKABUMI,108.0,UNIT,2022
237,32,JAWA BARAT,3273,KOTA BANDUNG,296.0,UNIT,2022
238,32,JAWA BARAT,3274,KOTA CIREBON,123.0,UNIT,2022
239,32,JAWA BARAT,3275,KOTA BEKASI,1185.0,UNIT,2022
240,32,JAWA BARAT,3276,KOTA DEPOK,1147.0,UNIT,2022
241,32,JAWA BARAT,3277,KOTA CIMAHI,28.0,UNIT,2022
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,72.0,UNIT,2022
243,32,JAWA BARAT,3279,KOTA BANJAR,4.0,UNIT,2022
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,359.0,Unit,2023
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,40.0,Unit,2023
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,87.0,Unit,2023
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,21.0,Unit,2023
248,32,JAWA BARAT,3205,KABUPATEN GARUT,101.0,Unit,2023
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2.0,Unit,2023
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.0,Unit,2023
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18.0,Unit,2023
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,54.0,Unit,2023
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5.0,Unit,2023
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,53.0,Unit,2023
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5.0,Unit,2023
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,28.0,Unit,2023
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,45.0,Unit,2023
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,316.0,Unit,2023
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,809.0,Unit,2023
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,156.0,Unit,2023
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,Unit,2023
262,32,JAWA BARAT,3271,KOTA BOGOR,452.0,Unit,2023
263,32,JAWA BARAT,3272,KOTA SUKABUMI,110.0,Unit,2023
264,32,JAWA BARAT,3273,KOTA BANDUNG,427.0,Unit,2023
265,32,JAWA BARAT,3274,KOTA CIREBON,133.0,Unit,2023
266,32,JAWA BARAT,3275,KOTA BEKASI,1049.0,Unit,2023
267,32,JAWA BARAT,3276,KOTA DEPOK,1147.0,Unit,2023
268,32,JAWA BARAT,3277,KOTA CIMAHI,28.0,Unit,2023
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,269.0,Unit,2023
270,32,JAWA BARAT,3279,KOTA BANJAR,3.0,Unit,2023
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,791.0,UNIT,2024
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,40.0,UNIT,2024
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,145.0,UNIT,2024
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,23.0,UNIT,2024
275,32,JAWA BARAT,3205,KABUPATEN GARUT,101.0,UNIT,2024
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1.0,UNIT,2024
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.0,UNIT,2024
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,28.0,UNIT,2024
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,62.0,UNIT,2024
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5.0,UNIT,2024
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,73.0,UNIT,2024
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8.0,UNIT,2024
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,28.0,UNIT,2024
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,,UNIT,2024
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15.0,UNIT,2024
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,812.0,UNIT,2024
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,161.0,UNIT,2024
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,109.0,UNIT,2024
289,32,JAWA BARAT,3271,KOTA BOGOR,452.0,UNIT,2024
290,32,JAWA BARAT,3272,KOTA SUKABUMI,135.0,UNIT,2024
291,32,JAWA BARAT,3273,KOTA BANDUNG,427.0,UNIT,2024
292,32,JAWA BARAT,3274,KOTA CIREBON,,UNIT,2024
293,32,JAWA BARAT,3275,KOTA BEKASI,1.208,UNIT,2024
294,32,JAWA BARAT,3276,KOTA DEPOK,1.215,UNIT,2024
295,32,JAWA BARAT,3277,KOTA CIMAHI,54.0,UNIT,2024
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,287.0,UNIT,2024
297,32,JAWA BARAT,3279,KOTA BANJAR,7.0,UNIT,2024
