id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
151,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,39,UNIT,2024/2025
152,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,315,UNIT,2024/2025
153,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,314,UNIT,2024/2025
154,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,206,UNIT,2024/2025
155,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,221,UNIT,2024/2025
156,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,91,UNIT,2024/2025
157,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,27,UNIT,2024/2025
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,189,UNIT,2024/2025
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,37,UNIT,2024/2025
160,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,82,UNIT,2024/2025
161,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,6,UNIT,2024/2025
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,1536,UNIT,2025/2026
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,366,UNIT,2025/2026
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,1131,UNIT,2025/2026
165,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,83,UNIT,2025/2026
166,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,1184,UNIT,2025/2026
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,59,UNIT,2025/2026
168,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,1210,UNIT,2025/2026
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,139,UNIT,2025/2026
170,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,1423,UNIT,2025/2026
171,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,119,UNIT,2025/2026
172,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,1034,UNIT,2025/2026
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,28,UNIT,2025/2026
174,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,733,UNIT,2025/2026
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,10,UNIT,2025/2026
