id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,19,UNIT,2017/2018
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,89,UNIT,2017/2018
63,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,30,UNIT,2017/2018
64,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,90,UNIT,2017/2018
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,17,UNIT,2017/2018
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,49,UNIT,2017/2018
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,17,UNIT,2017/2018
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,9,UNIT,2017/2018
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,19,UNIT,2017/2018
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,9,UNIT,2017/2018
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,20,UNIT,2017/2018
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,26,UNIT,2017/2018
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,16,UNIT,2017/2018
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,6,UNIT,2017/2018
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,15,UNIT,2017/2018
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,10,UNIT,2017/2018
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,23,UNIT,2017/2018
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,30,UNIT,2017/2018
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,17,UNIT,2017/2018
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,27,UNIT,2017/2018
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,17,UNIT,2017/2018
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,8,UNIT,2017/2018
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,30,UNIT,2017/2018
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,19,UNIT,2017/2018
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,39,UNIT,2017/2018
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,74,UNIT,2017/2018
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,17,UNIT,2017/2018
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,43,UNIT,2017/2018
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,4,UNIT,2017/2018
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,2,UNIT,2017/2018
91,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,10,UNIT,2017/2018
92,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,43,UNIT,2017/2018
93,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,5,UNIT,2017/2018
94,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,12,UNIT,2017/2018
95,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,27,UNIT,2017/2018
96,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,109,UNIT,2017/2018
97,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,9,UNIT,2017/2018
98,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,16,UNIT,2017/2018
99,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,22,UNIT,2017/2018
100,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,88,UNIT,2017/2018
101,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,15,UNIT,2017/2018
102,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,48,UNIT,2017/2018
103,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,6,UNIT,2017/2018
104,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,10,UNIT,2017/2018
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,10,UNIT,2017/2018
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,18,UNIT,2017/2018
107,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,3,UNIT,2017/2018
108,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,2,UNIT,2017/2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,44,UNIT,2018/2019
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,139,UNIT,2018/2019
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,26,UNIT,2018/2019
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,52,UNIT,2018/2019
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,18,UNIT,2018/2019
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,74,UNIT,2018/2019
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,19,UNIT,2018/2019
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,89,UNIT,2018/2019
117,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,32,UNIT,2018/2019
118,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,92,UNIT,2018/2019
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,18,UNIT,2018/2019
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,49,UNIT,2018/2019
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,17,UNIT,2018/2019
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,10,UNIT,2018/2019
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,19,UNIT,2018/2019
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,9,UNIT,2018/2019
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,21,UNIT,2018/2019
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,26,UNIT,2018/2019
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,16,UNIT,2018/2019
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,6,UNIT,2018/2019
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,15,UNIT,2018/2019
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,11,UNIT,2018/2019
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,23,UNIT,2018/2019
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,30,UNIT,2018/2019
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,19,UNIT,2018/2019
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,28,UNIT,2018/2019
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,17,UNIT,2018/2019
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,8,UNIT,2018/2019
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,30,UNIT,2018/2019
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,19,UNIT,2018/2019
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,39,UNIT,2018/2019
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,75,UNIT,2018/2019
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,17,UNIT,2018/2019
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,44,UNIT,2018/2019
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,4,UNIT,2018/2019
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,2,UNIT,2018/2019
145,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,10,UNIT,2018/2019
146,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,44,UNIT,2018/2019
147,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,5,UNIT,2018/2019
148,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,13,UNIT,2018/2019
149,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,27,UNIT,2018/2019
150,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,111,UNIT,2018/2019
151,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,9,UNIT,2018/2019
152,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,17,UNIT,2018/2019
153,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,22,UNIT,2018/2019
154,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,89,UNIT,2018/2019
155,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,15,UNIT,2018/2019
156,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,48,UNIT,2018/2019
157,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,6,UNIT,2018/2019
158,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,10,UNIT,2018/2019
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,10,UNIT,2018/2019
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,17,UNIT,2018/2019
161,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,3,UNIT,2018/2019
162,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,2,UNIT,2018/2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,45,UNIT,2019/2020
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,144,UNIT,2019/2020
