id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pasar,satuan,tahun
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,58,UNIT,2023
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,16,UNIT,2023
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,28,UNIT,2023
127,32,JAWA BARAT,3271,KOTA BOGOR,17,UNIT,2023
128,32,JAWA BARAT,3272,KOTA SUKABUMI,8,UNIT,2023
129,32,JAWA BARAT,3273,KOTA BANDUNG,49,UNIT,2023
130,32,JAWA BARAT,3274,KOTA CIREBON,12,UNIT,2023
131,32,JAWA BARAT,3275,KOTA BEKASI,14,UNIT,2023
132,32,JAWA BARAT,3276,KOTA DEPOK,12,UNIT,2023
133,32,JAWA BARAT,3277,KOTA CIMAHI,4,UNIT,2023
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,UNIT,2023
135,32,JAWA BARAT,3279,KOTA BANJAR,8,UNIT,2023
