lat,lon,kecamatan,kepadatan_penduduk,jumlah_sekolah_500m,jumlah_pasar_1km,jumlah_kampus_1km,jumlah_restoran_500m,jumlah_kafe_500m,jumlah_halte_500m,jumlah_kompetitor_500m,success_score,kategori
-6.948,107.56599999999999,bandung kulon,21397.0,0,0,0,0,1,0,1,17.078454870266345,Rendah
-6.948,107.58199999999998,bandung kulon,21397.0,2,1,0,0,0,0,0,19.781062940590168,Rendah
-6.948,107.58999999999997,babakan ciparay,19694.0,5,1,2,0,0,0,0,30.95812467131781,Rendah
-6.948,107.59799999999997,bojongloa kidul,14278.0,1,0,3,4,1,0,5,26.255897762825754,Rendah
-6.948,107.60599999999997,bojongloa kidul,14278.0,11,2,1,1,1,0,2,28.84167737782587,Rendah
-6.948,107.61399999999996,bandung kidul,10306.0,0,1,1,0,0,0,0,18.613916386749285,Rendah
-6.948,107.62199999999996,bandung kidul,10306.0,0,0,8,2,0,0,2,32.30872137209522,Rendah
-6.948,107.62999999999995,bandung kidul,10306.0,1,0,8,4,1,0,5,33.24089592548294,Rendah
-6.948,107.64599999999994,buahbatu,13472.0,1,1,3,0,0,0,0,24.238332218293202,Rendah
-6.948,107.65399999999994,rancasari,12071.0,2,0,1,0,0,0,0,16.444175142815038,Rendah
-6.948,107.66999999999993,rancasari,12071.0,3,0,0,0,0,0,0,12.299279303446255,Rendah
-6.948,107.67799999999993,gedebage,4530.0,3,0,0,0,0,0,0,10.03280953166864,Rendah
-6.948,107.68599999999992,gedebage,4530.0,0,0,0,0,0,1,0,10.728819237110283,Rendah
-6.948,107.70199999999991,gedebage,4530.0,1,4,1,0,1,0,1,24.940400105162187,Rendah
-6.948,107.70999999999991,gedebage,4530.0,0,2,1,0,1,0,1,18.18931783883496,Rendah
-6.948,107.7179999999999,gedebage,4530.0,0,0,0,0,0,0,0,7.293328919368166,Rendah
-6.94,107.55,bandung kulon,21397.0,0,0,0,0,0,0,0,11.1309085763251,Rendah
-6.94,107.55799999999999,bandung kulon,21397.0,0,0,0,0,0,0,0,16.807680595874572,Rendah
-6.94,107.56599999999999,bandung kulon,21397.0,2,0,0,0,0,0,0,19.0679128520453,Rendah
